nohup: ignoring input
Namespace(batchSize=48, chop=False, cuda=True, loss='1*VGG54+0.01*GDL', lr=0.0001, nEpochs=1000, patchSize=64, pre_train='./experiment/G_0.105.pth', rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 4 GPUs!
load model from ./experiment/G_0.105.pth ...
success!
Preparing loss function:
1.000 * VGG54
0.010 * GDL
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /root/miniconda3/lib/python3.7/site-packages/lpips/weights/v0.1/alex.pth
===========> G_Epoch[1](56/2480): Loss: 0.641904
===> D_Epoch[1](56/2480): Loss: 0.678179
===========> G_Epoch[1](57/2480): Loss: 0.808654
===> D_Epoch[1](57/2480): Loss: 0.681508
===========> G_Epoch[1](58/2480): Loss: 0.723890
===> D_Epoch[1](58/2480): Loss: 0.679257
===========> G_Epoch[1](59/2480): Loss: 0.627027
===> D_Epoch[1](59/2480): Loss: 0.673445
===========> G_Epoch[1](60/2480): Loss: 0.597039
===> D_Epoch[1](60/2480): Loss: 0.683866
===========> G_Epoch[1](61/2480): Loss: 0.746395
===> D_Epoch[1](61/2480): Loss: 0.671225
===========> G_Epoch[1](62/2480): Loss: 0.727662
===> D_Epoch[1](62/2480): Loss: 0.675358
===========> G_Epoch[1](63/2480): Loss: 0.650325
===> D_Epoch[1](63/2480): Loss: 0.681528
===========> G_Epoch[1](64/2480): Loss: 0.634182
===> D_Epoch[1](64/2480): Loss: 0.668750
===========> G_Epoch[1](65/2480): Loss: 0.555566
===> D_Epoch[1](65/2480): Loss: 0.672096
===========> G_Epoch[1](66/2480): Loss: 0.756847
===> D_Epoch[1](66/2480): Loss: 0.669049
===========> G_Epoch[1](67/2480): Loss: 0.576445
===> D_Epoch[1](67/2480): Loss: 0.677844
===========> G_Epoch[1](68/2480): Loss: 0.534582
===> D_Epoch[1](68/2480): Loss: 0.672750
===========> G_Epoch[1](69/2480): Loss: 0.747253
===> D_Epoch[1](69/2480): Loss: 0.674493
===========> G_Epoch[1](70/2480): Loss: 0.607793
===> D_Epoch[1](70/2480): Loss: 0.678018
===========> G_Epoch[1](71/2480): Loss: 0.660398
===> D_Epoch[1](71/2480): Loss: 0.675165
===========> G_Epoch[1](72/2480): Loss: 0.683667
===> D_Epoch[1](72/2480): Loss: 0.678779
===========> G_Epoch[1](73/2480): Loss: 0.705301
===> D_Epoch[1](73/2480): Loss: 0.666393
===========> G_Epoch[1](74/2480): Loss: 0.699946
===> D_Epoch[1](74/2480): Loss: 0.671059
===========> G_Epoch[1](75/2480): Loss: 0.586329
===> D_Epoch[1](75/2480): Loss: 0.677792
===========> G_Epoch[1](76/2480): Loss: 0.725330
===> D_Epoch[1](76/2480): Loss: 0.668409
===========> G_Epoch[1](77/2480): Loss: 0.663972
===> D_Epoch[1](77/2480): Loss: 0.671327
===========> G_Epoch[1](78/2480): Loss: 0.676526
===> D_Epoch[1](78/2480): Loss: 0.663765
